gene,cluster_id,logFC,logCPM,F,p_adj_val,p_adj.loc,p_adj.glb,contrast
LINC02412,Ast,-1.00983671461288,0.0769459583935679,4.85678262918198,0.0297134995297369,0.343117000356243,0.349208882581593,High_vs_Not_AD
NUDT4,Ast,0.761530907308438,5.53684584706346,7.59774933918258,0.00719170214207109,0.244395950831097,0.273546512766023,High_vs_Not_AD
SOCS2-AS1,Ast,-0.872090191125082,1.46674394233353,9.29736872304327,0.00306296918863689,0.177756614509152,0.225945110562075,High_vs_Not_AD
SOCS2,Ast,-0.782632659008679,1.23739042603234,7.22949250364461,0.00861948776368592,0.255563859904256,0.283520547900327,High_vs_Not_AD
CCDC38,Ast,-0.682735074825695,0.185139904352944,4.75072912617222,0.0316192847252146,0.349558164382951,0.353753840876238,High_vs_Not_AD
AC007513.1,Ast,0.619959170314147,0.304503211762348,4.53800633203217,0.0356564078409734,0.360358472115825,0.360563479787015,High_vs_Not_AD
ASCL1,Ast,0.86245824394647,3.3410583198792,5.33673119089828,0.0233864175484465,0.326210120814557,0.332161182724465,High_vs_Not_AD
NT5DC3,Ast,-0.587526225788222,3.17363206007271,6.57130505937642,0.0121846627790436,0.278026886150583,0.301032924732829,High_vs_Not_AD
BTBD11,Ast,-0.886938500325286,3.92943218582228,10.7579941114782,0.00152302905662198,0.137879673563938,0.186638547445353,High_vs_Not_AD
RPL6,Ast,-0.595050545744671,4.68565268110732,13.4481788402217,0.000433092925134051,0.0909378521042004,0.129809485315354,High_vs_Not_AD
CFAP73,Ast,1.34040831594789,0.157764419001171,7.21846514319058,0.00840753049461034,0.255563859904256,0.283432672818234,High_vs_Not_AD
SDSL,Ast,-0.907363396617357,1.82738016033537,9.55404442374503,0.00271458997694987,0.169301093235683,0.219674204916552,High_vs_Not_AD
LINC00173,Ast,-0.727312350896046,4.42495124830195,6.48354563004039,0.0127479714521766,0.278026886150583,0.302504571490577,High_vs_Not_AD
MAP1LC3B2,Ast,-1.30821680528283,4.48182831798494,10.5744907463113,0.00166208885509924,0.141704435891442,0.19159067847469,High_vs_Not_AD
AC127164.1,Ast,-0.729331077663268,1.38926670006358,7.18023310700773,0.00885510801384586,0.257342663201796,0.285126405236398,High_vs_Not_AD
TESC-AS1,Ast,-0.619852762257251,0.622957931251363,5.179232319835,0.0251878797251144,0.329064307572256,0.338024560600152,High_vs_Not_AD
KSR2,Ast,-0.588575330365883,5.07001825820357,7.0803277367131,0.00936391628812121,0.25827135776726,0.287183783250001,High_vs_Not_AD
AC068790.3,Ast,1.19951827245024,0.238044161942233,15.7366285456827,0.000137722328057,0.0711729219749595,0.0971181165059025,High_vs_Not_AD
LINC02826,Ast,-1.542219674053,1.23728101021523,18.7549363262498,3.97583403215713e-05,0.0425889137922438,0.0680042556196284,High_vs_Not_AD
LINC02405,Ast,-0.708377578494653,0.524531730643145,5.49780618050673,0.0211535162290846,0.316648675438235,0.328447896685507,High_vs_Not_AD
AC131009.1,Ast,0.613194978938008,0.317738320783002,5.36586441720251,0.0226431177053846,0.321950792342684,0.3303663996651,High_vs_Not_AD
TNFRSF19,Ast,-0.721111116089353,0.990841067392294,6.30586870689394,0.0138591446209503,0.281854673751274,0.304039190839714,High_vs_Not_AD
AMER2,Ast,0.579665763360442,6.48576683940286,4.50689034688317,0.0367547708313346,0.362672302632995,0.362134871083741,High_vs_Not_AD
USP12-AS1,Ast,-0.871352466516367,-0.232266562659299,5.9455085010703,0.0163294754480087,0.293811025913421,0.311985925175897,High_vs_Not_AD
RPL21,Ast,-0.576037751675056,5.04141521580193,13.3326272076371,0.000456582041118852,0.094403093064251,0.133704046304866,High_vs_Not_AD
LINC00544,Ast,2.43323417644455,-0.0779494249713021,15.8666135651034,0.000120128087811765,0.0681263547135921,0.0953073886387557,High_vs_Not_AD
AL353648.1,Ast,-0.703004119039363,1.03639855803231,6.06838447995858,0.0157331659510735,0.29265830554977,0.310603352188871,High_vs_Not_AD
