Mic	Oli	Ast	OPC	Inh	Ext
WT1	1.12585362433733	24.9944176285657	20.0682889946859	100	0	57.1434309259425
MAFA	1.08440718747394	0	53.081176264382	100	80.7410517656753	77.7847137245133
SMAD5	1.03668138367223	41.8638697520374	1.56869110106196	100	0	0
DNMT1	0.812327491789562	26.2352676772458	11.6060666047631	100	0	0
GLIS2	0.740315365467039	23.8236822420911	40.9871738035532	100	0	0
YBX1	0.459038161730822	7.36122976267635	100	25.9334790704616	13.586044331506	0
ARNT2	0.214686981657815	0	3.37938190087985	32.5757264962439	0	100
NFIA	0.191834157226569	0.079805343997698	100	48.8581138622423	0	0
NFAT5	0	0	0	0	95.29421614675	100
NFATC2	0	0	0	0	100	95.5506043363428
MEF2D	0	0	0	0	94.8507038603509	100
NHLH1	0	6.45619738519914	0	100	98.902863455966	0
LYL1	0	6.45619738519914	0	100	98.902863455966	0
TCF12	0	4.93678895154222	0	94.1943967774934	100	0
POU6F2	0	0	94.682004732968	0	100	0
NOBOX	0	0	100	0	92.3624847177735	0
HOXD3	0	0	100	0	92.2924619657054	0
TFAP4	0	9.82715889159613	0	52.5648361135543	100	0
MYOG	0	7.92202359595699	0	79.5123552664484	100	0
ASCL2	0	4.80033194669871	0	69.8107966729657	100	0
NHLH2	0	3.14579699966345	0	47.9533388193618	100	0
FOXP3	0	81.2483933003486	10.1395380162348	0	100	0
FOXD4L3	0	81.2483933003486	10.1395380162348	0	100	0
FOXD4L5	0	81.2483933003486	10.1395380162348	0	100	0
FOXD4L6	0	81.2483933003486	10.1395380162348	0	100	0
FOXD4L4	0	81.2483933003486	10.1395380162348	0	100	0
FOXD4L2	0	81.2483933003486	10.1395380162348	0	100	0
LHX4	0	0	66.4046838848967	0	100	0
VSX2	0	0	82.3062954557851	0	100	0
PDX1	0	0	77.6341580996994	0	100	0
HOXD1	0	0	76.9914988370045	0	100	0
MEOX1	0	0	81.6710440391515	0	100	0
LBX1	0	0	68.0837687629723	0	100	0
EVX2	0	0	44.7662993428404	0	100	0
BARHL1	0	0	69.906194719759	0	100	0
VAX2	0	0	55.4059472630785	0	100	0
VAX1	0	0	55.4059472630785	0	100	0
MEOX2	0	0	36.6033107591605	0	100	0
EVX1	0	0	25.1876150735653	0	100	0
HLTF	0	0	61.1906227262623	7.42822549749192	100	27.1498958785872
ASCL1	0	1.91297426334625	0	71.1510994840791	100	1.59003056687665
MSC	0	0	0	8.43393738326516	100	4.32700744606324
POU2F2	0	0	0	0	100	8.1245814225381
POU5F1B	0	0	0	0	100	0
POU2F3	0	0	0	0	100	1.17512077855817
ZNF238	0	9.31754423853546	0	0	100	0
ZBTB42	0	9.31754423853546	0	0	100	0
POU2F1	0	0	0	0	100	0
POU3F4	0	0	0	0	100	1.31002813110803
DLX1	0	0	0.258615884280426	0	100	0
MYF6	0	0	0	0	100	12.6338979640204
FERD3L	0	0.906923137887517	0	18.583205454613	100	69.7043372520157
POU3F3	0	0	0	0	100	0
LHX8	0	0	0	0	100	0
AL7735441	0	0	0	0	100	0
CR3882292	0	0	0	0	100	0
AL6628334	0	0	0	0	100	0
CR7598154	0	0	0	0	100	0
BX0885802	0	0	0	0	100	0
CR8477943	0	0	0	0	100	0
DLX5	0	0	0	0	100	0
POU1F1	0	0	0	0	100	0
POU5F1	0	0	0	0	100	0
GFI1B	0	0	0	0	100	0
DLX6	0	0	25.1743750526726	0	100	0
LHX6	0	0	0	0	100	0
ZNF333	0	0	0	0	100	0
GFI1	0	0	0	0	100	0
HDX	0	0	0	0	100	0
POU4F3	0	4.56940009394251	0	0	100	0
POU4F2	0	0.670197211359068	0	0	100	0
POU3F2	0	1.7248557724129	0	0	100	0
POU4F1	0	3.07377962300781	0	0	100	0
HOXB6	0	2.94491927685573	0	0	100	0
DLX4	0	0	6.62199010658935	0	100	0
TCF3	0	0	0	0	100	0
FOXE3	0	72.1481250900815	4.98786157513279	0	100	0
FOXD1	0	72.1481250900815	4.98786157513279	0	100	0
POU6F1	0	0	0	0	100	0
HOXB1	0	4.29313429392634	0	0	100	15.6329415508796
LBX2	0	0	2.83894060214686	0	100	0
NFATC3	0	0	0	0	100	66.3299518255586
FEZF1	0	0	0	0	100	0
FEZF2	0	0	0	0	100	0
ENSG00000234254	0	4.51122005494319	0	0	100	0
NEUROD1	0	4.75814786003869	0	100	5.33608006006825	96.6340064451531
RFX5	0	0	93.3181291140753	0	2.37893667920778	100
RBPJ	0	0	91.1056007577092	0	0	100
EGR1	0	7.43443380736	0.54129981346675	42.3952354071443	0	100
RFX2	0	0	72.5337857234468	0	0	100
RFX8	0	0	47.1224872565631	0	0	100
RFX7	0	0	41.8453980409892	0	0	100
RFX3	0	0	15.6375710890545	0	0.438169320095846	100
NR3C1	0	0	76.2143216789406	67.2482763944789	11.364061395692	100
RFX4	0	0	12.9076299114328	0	0.178084636768039	100
ARID2	0	0	45.1398372923419	0	0	100
NR0B1	0	5.92940563632655	7.12837401437377	50.1084420844696	0	100
MYOD1	0	0	0	50.8078584212042	50.2845776430217	100
TCF21	0	0	0	0	18.4965118678095	100
ENSG00000187728	0	0	0	0	18.4965118678095	100
TAL1	0	0	0	0	5.96814553690708	100
TAL2	0	0	0	0	5.96814553690708	100
TCF15	0	0	0	0	32.6891299329589	100
SCXB	0	0	0	0	32.6891299329589	100
SCXA	0	0	0	0	32.6891299329589	100
LCOR	0	0	0	0	79.0656130418305	100
JUNB	0	0	0	0	0	100
FOS	0	0	0	0	0	100
FOSL2	0	0	0	0	0	100
JUN	0	0	0	0	0	100
JUND	0	0	0	0	0	100
SMARCC1	0	0	0	0	0	100
FOSL1	0	0	0	0	0	100
BACH1	0	0	0	0	0	100
FOSB	0	0	0	0	0	100
JDP2	0	0	0	0	0	100
BACH2	0	0	0	0	0	100
EGR2	0	0	0	1.11695742082112	0	100
BHLHA15	0	0	0	0	0	100
TCF23	0	0	0	0	0	100
NEUROD2	0	0	0	0	0	100
NEUROD4	0	0	0	0	0	100
NEUROD6	0	0	0	0	0	100
NEUROG1	0	0	0	0	0	100
OLIG1	0	0	0	0	0	100
BHLHE23	0	0	0	0	0	100
NEUROG3	0	0	0	0	0	100
ATOH7	0	0	0	0	0	100
OLIG3	0	0	0	0	0	100
EPAS1	0	0	0	0.147251569268982	0	100
OLIG2	0	0	0	0	0	100
BHLHE22	0	0	0	0	0	100
NFE2	0	0	0	0	0.584551097449948	100
NEUROG2	0	0	0	0	0	100
EGR4	0	0.982635711424235	0	5.67296405902457	0	100
EGR3	0	0	0	0.955165755827815	0	100
EOMES	0	0	0	0	0	100
TBX10	0	0	0	0	0	100
TWIST2	0	0	0	0	0	100
BATF	0	0	0	0	0	100
TBR1	0	0	0	0	0	100
ATOH8	0	0	0	0	1.04778529710739	100
TEF	0	0	0	0	4.67391770169601	100
NFE2L2	0	0	0	0	3.43751973832332	100
GLI3	0	0	0	0	0	100
NFIL3	0	0	0	0	6.93023163583965	100
GLI2	0	0	0	0	0	100
MGA	0	0	0	0	0	100
MEF2C	0	0	0	0	8.62684827792485	100
DBP	0	0	0	0	3.31830811130984	100
TBX20	0	0	0	0	0	100
KLF3	0	0	0	0	0	100
PGR	0	0	13.5085101535732	0	7.84770429342074	100
ZSCAN4	0	0	0	0	15.8713920325627	100
HLF	0	0	0	0	3.44701417341463	100
ZNF75A	0	0	0	0	0	100
ZNF75D	0	0	0	0	0	100
ZNF75C	0	0	0	0	0	100
NR3C2	0	0	0	0	32.4975233427361	100
TBX5	0	0	0	0	0	100
TBX4	0	0	0	0	0	100
ATOH1	0	0	0	1.56250136442955	0	100
GLI1	0	0	20.7683910818104	1.97718909743423	0	100
KLF8	0	36.2759129854264	21.8058514798391	54.6638124294749	0	100
ZNF354C	0	0	0	0	16.03671321407	100
MEF2A	0	0	0	0	68.811613951644	100
TEAD1	0	0	46.0450542475698	0	9.42177940240098	100
TEAD4	0	0	27.2817901045801	0	21.3358868835116	100
TBX21	0	0	0	0	0	100
CTCFL	0	100	2.78389264267725	24.3882062575295	0	0
CTCF	0	100	0	0.197840450527425	0	0
SOX9	0	100	0	0	0	0
SOX12	0	100	0	0	0	0
SOX4	0	100	10.4064343894639	13.5538942136287	0	0
SOX13	0	100	0	0	0	0
SOX17	0	100	0	0	0.0731714153304695	0
SOX11	0	100	0	0	0	0
SOX30	0	100	0	0	0	0
SRY	0	100	0	0	0	0
SOX3	0	100	0	0	0	0
SOX5	0	100	0	0	0	0
SOX6	0	100	0	0	0	0
TCF7	0	100	34.0857265370505	14.1977032859238	0	0
FOXK2	0	100	0	1.07099311966279	4.60840248007306	0
FOXP1	0	100	0	0.650319311946106	3.94529786266285	0
FOXP4	0	100	0	0.650319311946106	3.94529786266285	0
SOX2	0	100	0	0	0	0
SOX18	0	100	0	0	3.10277754096109	0
SOX15	0	100	0	0	0	0
FOXD4	0	100	0	0	10.1490083253384	0
FOXD4L1	0	100	0	0	10.1490083253384	0
FOXJ1	0	100	0	0	10.1490083253384	0
FOXN3	0	100	0	0	2.95091824341568	0
FOXN2	0	100	0	0	2.95091824341568	0
FOXL2	0	100	0	0	2.95091824341568	0
FOXK1	0	100	0	0	8.54143988678672	0
KIAA0415	0	100	0	0	8.54143988678672	0
FOXJ3	0	100	0	0	0	0
TCF7L2	0	100	36.8550070151773	14.5346162634144	6.05294779348471	0
SOX21	0	100	0	0	17.7377284414324	0
FOXP2	0	100	14.820950029422	3.29424463137694	63.4472090164133	0
SOX7	0	100	0	0	0.705271938400836	0
SOX10	0	100	0	0	46.850244514264	0
CREM	0	100	0	0	0	0
ZIC4	0	67.323118995639	58.6687739558748	100	0	0
ZFP161	0	30.5491011896203	0	100	0	0
MYF5	0	6.37104621984786	0	100	79.2986841831063	0.360003184018036
ZNF202	0	22.2448567292419	51.3769478125305	100	0	0
SMAD1	0	7.47573433965129	26.371596795418	100	15.7494872467944	14.9835004564195
HES1	0	3.12097653351773	47.1820237773192	100	0	0
AR	0	0	79.7240176903137	100	9.42562867856758	83.0427944435795
LMO2	0	4.75499430501295	0	100	36.8402546429437	0
SOHLH2	0	0	0	100	8.92612061313277	0
C13orf38SOHLH2	0	0	0	100	8.92612061313277	0
SMAD2	0	12.4107109480867	49.0629006920826	100	0	8.06296765611793
HIF1A	0	0	0	100	0	23.887623819859
PTF1A	0	0	17.0502240900807	100	76.9060599160159	57.1756468714581
ZBTB1	0	22.0158852354358	0	100	0	0
NFIC	0	0	100	8.29030131655641	3.96034063600194	4.06974526248366
