symbol,LS,Correlation,FDR,mLog10pval,TF,Stage,Cell
ADAM9,37.7756566675036,0.623541219338993,3.05963999524026e-54,2.37142132348283,RUNX1,Not,Mic
SIGLEC5,117.13318599284,0.598919139593548,4.28014646082705e-49,2.16647450014734,RUNX1,Not,Mic
RCSD1,61.6766702275374,0.592554541379677,7.76037051153172e-48,2.2876018761231,RUNX1,Not,Mic
ADGRE1,106.160965725593,0.585858994483935,1.52836861671964e-46,2.71081989973355,RUNX1,Not,Mic
VAV1,108.363729640783,0.575176946791798,1.53901040876119e-44,2.57901851335502,RUNX1,Not,Mic
CCR1,139.641272754267,0.570518329056174,1.09152283360688e-43,2.65669783635359,RUNX1,Not,Mic
SIGLEC14,111.352495782116,0.558881035639905,1.27392730092187e-41,2.30218751873475,RUNX1,Not,Mic
AOAH,37.383162074142,0.556834776833994,2.88513882994357e-41,2.33975309630641,RUNX1,Not,Mic
SART3,37.259240430114,0.550452292852958,3.56291242012512e-40,2.17845262403301,RUNX1,Not,Mic
C3,97.8687990262361,0.542691924861107,7.04742128235269e-39,2.57901851335502,RUNX1,Not,Mic
RNASET2,60.3944007831172,0.534621946603776,1.44767287773298e-37,2.58373880620991,RUNX1,Not,Mic
ERBIN,45.3006560490535,0.945762253683569,2.410844383531e-242,2.73049520078635,SOX12,Not,Oli
MTUS1,48.6206885200156,0.941624045200753,1.02768951189129e-234,4.00226670366541,SOX12,Not,Oli
RDX,31.2555711353455,0.941194276931452,5.97001752893133e-234,3.25707123962907,SOX12,Not,Oli
HEY2,52.2850370262495,0.933795452356017,1.18710823999903e-221,4.00028171824474,SOX12,Not,Oli
SHC4,23.6207104679244,0.93323224574729,8.93073063382053e-221,2.42558642331576,SOX12,Not,Oli
AMER2,43.4157692550281,0.929247211588186,8.81339500750091e-215,2.50160035205791,SOX12,Not,Oli
ZNF280D,38.266902607363,0.924763795514353,1.97096539443667e-208,5.7344336742449,SOX12,Not,Oli
INPP1,35.3346944966117,0.921977841171697,1.10342758352091e-204,2.08601643376043,SOX12,Not,Oli
MEIS1,39.7967061997631,0.921767479354587,2.08914862982963e-204,2.05638190081691,SOX12,Not,Oli
CPB2-AS1,23.3887400581701,0.919728346645047,9.25284138684371e-202,2.08164346056547,SOX12,Not,Oli
TMEM144,40.6701144384816,0.917056361173644,2.14436315191474e-198,2.60092070128232,SOX12,Not,Oli
FAXDC2,17.2882651902999,0.914436414302747,3.32448643444322e-195,2.15140886900971,SOX12,Not,Oli
DIP2B,22.1962852536643,0.914061232565124,9.3136666788851e-195,2.42369901138835,SOX12,Not,Oli
FRYL,33.1331251820325,0.913345835404886,6.56662277634247e-194,2.31994080659127,SOX12,Not,Oli
PSME4,32.9956593352178,0.912347456170149,9.79596102547731e-193,3.75260887258192,SOX12,Not,Oli
MYO18A,43.9993304119375,0.911008872675492,3.48609139051481e-191,2.89118133243866,SOX12,Not,Oli
ATG13,34.801071940981,0.910774939255898,6.47103078203311e-191,2.31994080659127,SOX12,Not,Oli
PLP1,39.4478092224882,0.910259492156126,2.51180327602333e-190,2.87693695960915,SOX12,Not,Oli
FOLH1,37.2321289867999,0.909956733466464,5.5523792287272e-190,2.77602571856421,SOX12,Not,Oli
CPB1,22.6320551221426,0.909809082400096,8.15625298607389e-190,3.22124244124263,SOX12,Not,Oli
ERMN,30.3082894296693,0.908876187062668,9.16044151846103e-189,2.31994080659127,SOX12,Not,Oli
LINC01608,28.0463790781001,0.905665706054028,3.11780652481222e-185,2.77602571856421,SOX12,Not,Oli
LRRC63,23.4743623733397,0.904879925195132,2.18499313039317e-184,2.1882160417422,SOX12,Not,Oli
DTHD1,37.1640477036727,0.90360463693223,4.9403682931351e-183,2.57987524975062,SOX12,Not,Oli
ITCH,36.8008177138116,0.902225515520234,1.38115656633469e-181,2.27118452867525,SOX12,Not,Oli
LINC01010,62.7902819531749,0.898900063931044,3.42537363632460e-178,3.34713801213159,SOX12,Not,Oli
PRKCQ-AS1,37.7100117092302,0.89810761488897,2.12547763455281e-177,2.19524308598647,SOX12,Not,Oli
MORF4L2-AS1,40.2240219298746,0.894281605111336,1.14904978208395e-173,3.33918185693785,SOX12,Not,Oli
PPP3CB-AS1,33.0585733097338,0.893009051136677,1.86343817622231e-172,2.08164346056547,SOX12,Not,Oli
KIF2A,23.7669663844727,0.889628987182139,2.5777943985827e-169,2.20212661891579,SOX12,Not,Oli
GNAI1,26.9102207557542,0.886684003956763,1.16945974062409e-166,2.42369901138835,SOX12,Not,Oli
PNPT1,19.18763913742,0.88528038427056,2.03240914419445e-165,2.64588634872704,SOX12,Not,Oli
SH3BP4,52.7702176580207,0.88323519619643,1.21913605478877e-163,2.83303986882447,SOX12,Not,Oli
MAP7,23.1927897661355,0.881212304441047,6.48078773468425e-162,2.50160035205791,SOX12,Not,Oli
TP53INP2,39.404399729386,0.880149436558028,5.08580369046766e-161,2.08601643376043,SOX12,Not,Oli
LINC00463,38.4002358997942,0.879169201242858,3.34216913558003e-160,2.50160035205791,SOX12,Not,Oli
CPB2,21.3608041299586,0.878314500885689,1.7012349082198e-159,2.08164346056547,SOX12,Not,Oli
AGMO,25.980150983467,0.876116546637739,1.06184189041643e-157,4.78010888859493,SOX12,Not,Oli
SAMMSON,54.1470086834938,0.874023511399517,5.05174573272339e-156,2.89118133243866,SOX12,Not,Oli
TCF12,32.7872146734256,0.872154115951063,1.49165256348066e-154,4.48677529090382,SOX12,Not,Oli
PRKCQ,37.4115605206972,0.868486161430963,9.86236322850768e-152,2.11534265522336,SOX12,Not,Oli
PIGU,38.7385453493004,0.867968809910071,2.42193590969785e-151,2.28298021573045,SOX12,Not,Oli
BLID,36.49128849294,0.866457376852703,3.28932959347462e-150,2.08601643376043,SOX12,Not,Oli
RERE,19.8137478749174,0.862417605624773,2.98422051570003e-147,2.08164346056547,SOX12,Not,Oli
SPATA13,43.5166507547889,0.85155480567735,9.62494607980879e-140,3.79873537275279,SOX12,Not,Oli
BBX,20.0493493474163,0.844624928906379,2.92315738754028e-135,2.12942384908834,SOX12,Not,Oli
PCDH9,22.074330301358,0.841647918585688,2.10775675015004e-133,2.78804168004307,SOX12,Not,Oli
ZC3H13,21.5150773173782,0.838904480455752,1.00387188755248e-131,2.08164346056547,SOX12,Not,Oli
FRMD5,20.6391359792257,0.836311238184023,3.62798579017817e-130,2.04174105333122,SOX12,Not,Oli
AGAP5,26.4236491337874,0.833846163088617,1.03434748889886e-128,2.55846897819721,SOX12,Not,Oli
SECISBP2L,25.074516271105,0.833004607966137,3.20556536435215e-128,3.55213744428439,SOX12,Not,Oli
MTMR2,13.9806650596318,0.825784022305448,4.10633501430504e-124,2.34335619555694,SOX12,Not,Oli
SOX2,76.4290797023784,0.823164089657642,1.13964819159479e-122,4.95819095717077,SOX12,Not,Oli
ACYP2,27.5276382606448,0.817457769652648,1.31389163315509e-119,3.9695075553269,SOX12,Not,Oli
NCOA7,43.7166784883688,0.813560185065806,1.40169318354761e-117,3.03767585143555,SOX12,Not,Oli
COBL,42.2502376666486,0.794565939955653,2.46384859598975e-108,2.36686445118856,SOX12,Not,Oli
NHLRC3,16.8862315445538,0.790841138532601,1.2375839839687e-106,2.55846897819721,SOX12,Not,Oli
NCOA7-AS1,48.829113704899,0.776572740882467,1.97751535594024e-100,3.6097946846429,SOX12,Not,Oli
KIAA1324L,23.1020804452781,0.77650573206472,2.1090227178952e-100,2.77602571856421,SOX12,Not,Oli
RICTOR,15.7904899278579,0.772813890394437,7.12670137990088e-99,3.20734944081259,SOX12,Not,Oli
ZSWIM6,11.6435083435778,0.772139364126095,1.34646254755556e-98,2.34335619555694,SOX12,Not,Oli
ATP6V1D,17.7678254772501,0.758118442397156,4.66424259915288e-93,2.08164346056547,SOX12,Not,Oli
LANCL1-AS1,20.3582118469535,0.749251976029863,9.52629943004646e-90,2.07034294389807,SOX12,Not,Oli
TOGARAM1,13.5044777251052,0.748554359502749,1.71111830681543e-89,2.27624295207824,SOX12,Not,Oli
PCDH9-AS4,47.8494122762386,0.744808352146626,3.8549502729862e-88,3.05466500330861,SOX12,Not,Oli
CIAO2B,34.9202112196715,0.736794723245675,2.5249670959544e-85,2.12942384908834,SOX12,Not,Oli
HINT3,37.9669618372291,0.736664745974703,2.79952871801462e-85,3.57284954148319,SOX12,Not,Oli
NMUR2,18.8644607961573,0.735999245274239,4.74343408011067e-85,3.03157244578915,SOX12,Not,Oli
MARCH1,11.8924550714911,0.732642300290155,6.63350448612218e-84,2.15140886900971,SOX12,Not,Oli
KMT2E,20.4101876297402,0.732599343648953,6.85957597811185e-84,2.42369901138835,SOX12,Not,Oli
LINC02362,26.6891602711197,0.731358331397076,1.79805331673026e-83,3.21794901312522,SOX12,Not,Oli
DUBR,37.3533795642649,0.731075751825998,2.2379955593134e-83,2.43936212903933,SOX12,Not,Oli
DEPDC1B,15.2363269256536,0.71546039650791,2.63568998679774e-78,2.34335619555694,SOX12,Not,Oli
FAM76B,12.9924776498849,0.686816686804069,7.65261546773996e-70,4.1070981908421,SOX12,Not,Oli
ECPAS,12.6054919542747,0.683843334182969,5.08029771072401e-69,2.56862662816422,SOX12,Not,Oli
SRPK2,22.3757230616935,0.656872019926085,5.47309305965297e-62,2.55846897819721,SOX12,Not,Oli
PRPF39,11.3715851048366,0.63881164976874,1.13613232502032e-57,2.64588634872704,SOX12,Not,Oli
APP,14.9491365584334,0.632384441117583,3.33339272796295e-56,2.42369901138835,SOX12,Not,Oli
SPOCK3,33.1971972049837,0.625185201213946,1.33454213658177e-54,3.66217483645973,SOX12,Not,Oli
PON2,25.3162154963532,0.618124878423143,4.53727672612908e-53,2.03895245870155,SOX12,Not,Oli
CES4A,25.1588090516226,0.590299150247132,2.13382692657167e-47,2.77602571856421,SOX12,Not,Oli
KIAA1958,13.9124511261622,0.581401016802257,1.06954667899746e-45,2.83955534760531,SOX12,Not,Oli
DEK,11.1011759703709,0.548807336706399,6.75186781134292e-40,2.5079748451179,SOX12,Not,Oli
TAOK1,14.7560002587902,0.547572051215828,1.08846211991191e-39,2.45855852380601,SOX12,Not,Oli
CCNH,12.8468773150895,0.54040142260648,1.67587704073395e-38,3.66858726966689,SOX12,Not,Oli
NCKAP5,24.1306397045185,0.958432960613992,4.02678432628502e-270,2.43006397497893,SOX13,Not,Oli
PRR5L,23.6358372915962,0.952161859930207,2.14573883226394e-255,2.03487886013731,SOX13,Not,Oli
LINC00877,50.2167611965252,0.951265155734174,1.82409707960838e-253,2.51707941395968,SOX13,Not,Oli
RYBP,39.8675776966354,0.950233371858587,2.75657491135085e-251,2.22738467116292,SOX13,Not,Oli
CPB2-AS1,26.8967543444534,0.950099481823499,5.24329860940194e-251,3.09519478358986,SOX13,Not,Oli
PDE8A,41.4471717426965,0.947142797830896,5.04500451752646e-245,2.80869820587987,SOX13,Not,Oli
TMTC2,32.8194315239561,0.945752742531045,2.51013144587345e-242,2.13792571755289,SOX13,Not,Oli
PLP1,42.7036725141948,0.944532057240589,5.14957572882742e-240,3.38305557277295,SOX13,Not,Oli
LURAP1L-AS1,17.9090017826325,0.94405419650723,3.97480705964492e-239,2.00411053317408,SOX13,Not,Oli
NCAM1,27.1708252968724,0.942497045391081,2.80977650467466e-236,3.51716492104143,SOX13,Not,Oli
CPB1,21.807424957932,0.942089375798785,1.52412278283553e-235,2.28422238210105,SOX13,Not,Oli
LINC01608,30.1155258370973,0.938694363614752,1.26059117562235e-229,3.99774793113224,SOX13,Not,Oli
LRRC63,26.9085811160502,0.938024166240633,1.68676556506562e-228,3.21357860125515,SOX13,Not,Oli
DOCK10,29.0634756377906,0.935243746163862,6.033980711396e-224,2.66585984086149,SOX13,Not,Oli
LINC01010,45.9305502638122,0.935014968587155,1.39758400580895e-223,3.96325970261889,SOX13,Not,Oli
PRKCQ-AS1,27.441283585941,0.932936032569805,2.57045385230213e-220,2.07646344454343,SOX13,Not,Oli
LRP6,19.4159873566745,0.929943161962092,8.37137668870999e-216,2.51098309037592,SOX13,Not,Oli
MORF4L2-AS1,43.9491346482845,0.929276952127752,7.97971054092265e-215,4.00145635557271,SOX13,Not,Oli
MOB3B,35.3694756946246,0.924596395581371,3.33346560642931e-208,2.56744783322585,SOX13,Not,Oli
ADD1,19.9985570079272,0.923274237371718,2.0724542820688e-206,2.03487886013731,SOX13,Not,Oli
DUSP16,23.6469631151239,0.923225814018432,2.40523565120699e-206,2.20322225952974,SOX13,Not,Oli
LINC00870,40.4750521941925,0.922315415511012,3.95103847150559e-205,2.24289726480807,SOX13,Not,Oli
MAP4K4,28.6546788336994,0.91993159040196,5.06741220494532e-202,2.2623645390599,SOX13,Not,Oli
SH3BP4,47.1894578915708,0.919378533113535,2.59245280361608e-201,2.32360910951045,SOX13,Not,Oli
PSME4,22.8931462574766,0.915003416765832,6.9290230423442e-196,2.94671182286251,SOX13,Not,Oli
CPB2,25.2122301275451,0.913339938140018,6.67030904057079e-194,3.09519478358986,SOX13,Not,Oli
EQTN,32.904345316367,0.903804194976858,3.03752661950454e-183,2.32360910951045,SOX13,Not,Oli
SHTN1,32.605285370119,0.892310443929502,8.47951301210983e-172,2.03497602678691,SOX13,Not,Oli
ABHD6,21.4329207544527,0.88921329352958,6.17571159404099e-169,2.20322225952974,SOX13,Not,Oli
WASHC5,18.9828076429296,0.887087625167179,5.10291079126221e-167,2.16802283716566,SOX13,Not,Oli
