GeneIntegrationMatrix_name,MotifMatrix_name,cor,padj,maxDelta,Stage,MotifMatrix_Newname
NEUROD6,NEUROD6_821,0.754691725815451,2.52087688746258e-90,6.91763223176259,LowAD,NEUROD6
ETS2,ETS2_340,0.760796506258134,1.11650059689744e-92,6.90675983825325,HighAD,ETS2
MSX1,MSX1_501,0.764343733921722,4.45054193104237e-94,6.86989815606073,LowAD,MSX1
NFIB,NFIB_741,0.517219166409047,1.1319515202097e-32,6.83268089688465,HighAD,NFIB
SOX13,SOX13_761,0.679654996953069,3.80574687953244e-66,6.79375088807999,HighAD,SOX13
BHLHE22,BHLHE22_86,0.525299661506412,6.27259975390045e-34,6.78057181570683,NotAD,BHLHE22
CEBPB,CEBPB_140,0.886461485893672,7.14763258082088e-166,6.6412687974988,InterAD,CEBPB
NR1D2,NR1D2_841,0.600469864790601,1.99363808367449e-47,6.58587513659608,NotAD,NR1D2
FOXP4,FOXP4_358,0.668506157180829,3.69865264955575e-63,6.58015523623306,NotAD,FOXP4
FOXJ3,FOXJ3_378,0.561427217206742,5.49961364370019e-40,6.58015523623306,NotAD,FOXJ3
VSX1,VSX1_408,0.529170031969214,1.52223033279721e-34,6.51072757937554,LowAD,VSX1
ELF4,ELF4_323,0.677003876454704,2.00707420845791e-65,6.48700894651598,InterAD,ELF4
ATOH7,ATOH7_84,0.535001371087262,1.74227713577933e-35,6.48193007411306,HighAD,ATOH7
RFX2,RFX2_724,0.534436091419518,2.15902874825121e-35,6.45778634965196,NotAD,RFX2
NEUROD6,NEUROD6_821,0.777286644279424,2.10060760600535e-99,6.43455270218558,HighAD,NEUROD6
VSX1,VSX1_408,0.503532538337414,1.28692775300109e-30,6.3896306076464,NotAD,VSX1
NEUROD2,NEUROD2_73,0.890773434649176,8.17736555312349e-170,6.34347021203687,LowAD,NEUROD2
IRF3,IRF3_630,0.907248268122982,1.45122468874258e-186,6.28969472972801,InterAD,IRF3
CEBPZ,CEBPZ_806,0.592444673528971,8.1741372671705e-46,6.28044215486629,NotAD,CEBPZ
EN2,EN2_506,0.612149960130207,7.39870070131703e-50,6.27423512127285,NotAD,EN2
STAT6,STAT6_776,0.89043290307997,1.69792407641555e-169,6.23081698023949,LowAD,STAT6
ELF4,ELF4_323,0.69236086373913,1.0254067773645e-69,6.1757238074734,HighAD,ELF4
NEUROD6,NEUROD6_821,0.731891736284176,4.08103095024099e-82,6.09095023669866,InterAD,NEUROD6
ETV2,ETV2_324,0.636726998151686,2.55845188126143e-55,6.06255505312457,InterAD,ETV2
FLI1,FLI1_337,0.551659700247484,2.82635319659059e-38,6.05485789319178,NotAD,FLI1
HLX-AS1,HLX_478,0.53606057969189,1.1701879095663e-35,6.02071915314336,HighAD,HLX
RORA,RORA_658,0.58163904322001,1.0323742325369e-43,6.00286039436929,NotAD,RORA
NFYA,NFYA_288,0.607214393020178,8.10026401997392e-49,5.99334668475162,NotAD,NFYA
EMX2,EMX2_525,0.606199930312264,1.31787688031364e-48,5.99285558672651,NotAD,EMX2
IRF8,IRF8_633,0.828765574805824,9.07331390546278e-125,5.99162568953362,InterAD,IRF8
NEUROD2,NEUROD2_73,0.854522619200271,6.74361624153778e-141,5.9848403312116,HighAD,NEUROD2
PBX3,PBX3_518,0.54538550744847,3.31320328618292e-37,5.96688667197462,LowAD,PBX3
EMX2,EMX2_525,0.664553630812071,3.93832547035567e-62,5.93770932395441,LowAD,EMX2
IRF2,IRF2_634,0.775986069348746,7.4938596163086e-99,5.89002150855158,NotAD,IRF2
HNF4G,HNF4G_688,0.535660547727328,1.36380007361031e-35,5.8625412094188,NotAD,HNF4G
IRF9,IRF9_636,0.833482431360257,1.63399848583739e-127,5.82225408320038,InterAD,IRF9
FOXP4,FOXP4_358,0.689415912736729,7.15577944615783e-69,5.80211554507734,HighAD,FOXP4
FOXJ3,FOXJ3_378,0.668182221354726,4.48475756425734e-63,5.80211554507734,HighAD,FOXJ3
CEBPB,CEBPB_140,0.872397315202861,4.78931523526261e-154,5.77496536267717,HighAD,CEBPB
SOX30,SOX30_747,0.599514187184642,3.11143801486193e-47,5.75251588913319,InterAD,SOX30
IRF2,IRF2_634,0.757728731078559,1.73645649946562e-91,5.72898237030786,LowAD,IRF2
